WKT,PLANID,LAAG,VOOR,PLAN,OID_,LAAG_1,LEGENDA,LEGEN_SVBP
"POLYGON ((95163.386 434819.434,95124.801 434791.829,95098.27 434815.045,95092.842 434811.163,95086.79621 434815.671838,95084.296499 434817.640386,95080.871 434820.338,95079.837276 434821.176774,95078.808 434822.021,95080.237499 434823.043692,95180.695 434894.913,95203.541 434862.979,95156.404 434829.164,95163.386 434819.434))","537",DB_PERIFERE_DETHNDL,537.PDF#18,537_Plankaart.pdf,"30",DB_PERIFERE_DETHNDL,overige,overige
"POLYGON ((95857.162 434623.47,95852.213 434575.101,95798.6 434585.252999,95807.037 434628.598,95857.162 434623.47))","537",DB_PERIFERE_DETHNDL,537.PDF#18,537_Plankaart.pdf,"30",DB_PERIFERE_DETHNDL,overige,overige
"POLYGON ((95443.569 434621.362,95432.098 434591.035,95288.917592 434645.232013,95262.441 434655.254,95273.907 434685.557,95284.665943 434681.486162,95429.61 434626.644,95443.569 434621.362))","537",DB_PERIFERE_DETHNDL,537.PDF#18,537_Plankaart.pdf,"30",DB_PERIFERE_DETHNDL,overige,overige
"POLYGON ((95666.377 434674.714,95645.61 434619.827,95643.633 434614.603,95586.512 434625.419,95593.88 434640.817,95633.102 434633.391,95650.945 434680.553,95666.377 434674.714))","537",DB_DETAILHANDEL,537.PDF#15,537_Plankaart.pdf,"12",DB_DETAILHANDEL,overige,overige
"POLYGON ((95788.862 434613.731,95783.862 434588.044,95728.036 434598.616,95680.079 434607.697,95696.001 434663.502,95712.828007 434657.134025,95728.318 434651.273,95743.495 434645.53,95772.536 434634.54,95775.849999 434633.286,95792.054073 434630.131375,95788.862 434613.731))","537",DB_DETAILHANDEL,537.PDF#15,537_Plankaart.pdf,"12",DB_DETAILHANDEL,overige,overige
"POLYGON ((95857.162 434623.47,95852.213 434575.101,95798.6 434585.252999,95807.037 434628.598,95857.162 434623.47))","537",DB_DETAILHANDEL,537.PDF#15,537_Plankaart.pdf,"12",DB_DETAILHANDEL,overige,overige
"POLYGON ((95795.199977 434569.764934,95771.731 434500.941,95764.599999 434480.0,95761.270999 434469.933,95761.25 434469.94,95759.86 434465.71,95738.82 434472.83,95733.26 434474.7,95733.941 434476.78,95730.471999 434478.093,95740.091 434507.284071,95740.636 434508.938,95762.707 434575.918,95795.199977 434569.764934))","537",DB_DETAILHANDEL,537.PDF#15,537_Plankaart.pdf,"12",DB_DETAILHANDEL,overige,overige
"POLYGON ((95740.091 434507.284071,95730.471999 434478.093,95692.995 434492.279,95645.892 434510.109,95657.378 434540.475,95740.090999 434509.144438,95740.091 434507.284071))","537",DB_DETAILHANDEL,537.PDF#15,537_Plankaart.pdf,"12",DB_DETAILHANDEL,overige,overige
"POLYGON ((95520.664912 434557.509767,95532.157933 434587.906822,95631.470999 434550.287999,95619.983 434519.916,95526.643 434555.247,95522.952 434556.644,95520.664912 434557.509767))","537",DB_DETAILHANDEL,537.PDF#15,537_Plankaart.pdf,"12",DB_DETAILHANDEL,overige,overige
"POLYGON ((95532.157933 434587.906822,95520.664912 434557.509767,95518.263 434558.419,95516.643 434559.032,95446.643 434585.529,95443.698 434586.644,95436.643 434589.314,95433.775 434590.4,95432.098 434591.035,95443.569 434621.362,95445.245 434620.728,95446.643 434624.424,95447.482 434626.644,95451.264 434636.644,95455.013999 434646.558,95542.046999 434621.279,95532.726 434596.644,95529.762999 434588.813999,95532.157933 434587.906822))","537",DB_DETAILHANDEL,537.PDF#15,537_Plankaart.pdf,"12",DB_DETAILHANDEL,overige,overige
