X_georeferenced,Y_georeferenced,Z_georeferenced,ID
84123.8447955276,431822.634210022,2.62,104
84123.8447955276,431822.634210022,3,105
84113.6811288609,431830.613043355,0,106
84112.7337955276,431830.587210022,2.5,107
84112.7337955276,431830.587210022,0,108
84112.7337955276,431830.587210022,0,109
84112.7337955276,431830.587210022,0,110
84112.8457955275,431829.518710022,0,111
84112.8457955275,431829.518710022,0,112
84114.0837955276,431829.518710022,0,113
84115.4017955276,431829.518710022,0,114
84112.7337955276,431831.693210022,0,115
84119.2361631494,431828.922866361,0,116
84112.8282955276,431828.189210022,0,117
84119.0607955276,431828.189210022,0,118
84112.8457955275,431829.518710022,0,119
84114.0837955276,431829.518710022,0,120
84112.6217955276,431828.29091426,0,121
84126.8647955276,431828.025210022,2.5,122
84126.5917955275,431828.025210022,0,123
84121.2447955276,431828.189210022,0,124
84121.4587955276,431828.025210022,0,125
84112.6217955276,431828.29091426,0,126
84112.6217955276,431829.518710022,0,127
84120.6947955276,431828.189210022,0,128
84121.4587955276,431828.025210022,0,129
84125.4367955276,431829.406210022,0,130
84126.8647955276,431828.025210022,0,131
84112.6267955276,431828.30341426,0,132
84126.7854082963,431828.025210022,0,133
84123.9002955276,431829.406210022,0,134
84127.9822955276,431828.025210022,0,135
84126.5917955275,431828.132210022,0,136
84125.4367955276,431829.406210022,0,137
84123.9002955276,431829.406210022,0,138
84112.6217955276,431828.29091426,0,139
84112.8282955276,431828.189210022,0,140
84115.4017955276,431829.518710022,0,141
84115.6177955276,431829.518710022,0,142
84119.9947955276,431829.518710022,0,143
84120.1007955276,431829.518710022,0,144
84127.9822955276,431828.025210022,0,145
84121.4587955276,431828.025210022,0,146
84122.9117955276,431828.025210022,0,147
84126.8567955276,431829.406210022,0,148
84126.8567955276,431829.406210022,0,149
84125.4367955276,431829.575710022,0,150
84116.7017955276,431829.518710022,0,151
84121.4587955276,431829.518710022,0,152
84121.3517955276,431829.518710022,0,153
84119.4747121942,431833.613375889,0,154
84115.4017955276,431829.518710022,0,155
84115.4017955276,431829.518710022,0,156
84115.6177955276,431829.518710022,0,157
84119.9947955276,431829.518710022,0,158
84120.1007955276,431829.518710022,0,159
84115.4017955276,431829.518710022,2.5,160
84121.2947955276,431831.731710022,0,161
84121.2947955276,431833.951710022,0,162
84121.2947955276,431836.171710022,0,163
84115.4017955276,431829.518710022,0,164
84115.4017955276,431838.500210022,0,165
84115.4017955276,431838.500210022,0,166
84121.3517955276,431831.731710022,0,167
84121.3517955276,431833.951710022,0,168
84121.3517955276,431836.171710022,0,169
84115.4017955276,431836.213210022,0,170
84115.4017955276,431837.359210022,0,171
84115.4017955276,431833.993210022,0,172
84115.4017955276,431835.129210022,0,173
84115.4017955276,431831.693210022,0,174
84115.4017955276,431832.909210022,0,175
84116.7017955276,431835.218710022,0,176
84116.7017955276,431836.034710022,0,177
84116.7017955276,431837.118710022,0,178
84119.9947955276,431835.218710022,0,179
84116.7017955276,431833.318710022,0,180
84116.7017955276,431834.134710022,0,181
84119.9947955276,431833.318710022,0,182
84116.7017955276,431831.418710022,0,183
84116.7017955276,431832.234710022,0,184
84119.9947955276,431831.418710022,0,185
84116.7017955276,431829.518710022,0,186
84116.7017955276,431830.334710022,0,187
84119.9947955276,431829.518710022,0,188
84121.2947955276,431837.361710022,0,189
84121.3517955276,431836.213210022,0,190
84121.2947955276,431837.361710022,0,191
84121.2947955276,431837.361710022,0,192
84121.2947955276,431835.131710022,0,193
84121.3517955276,431833.993210022,0,194
84121.2947955276,431835.131710022,0,195
84121.2947955276,431835.137806022,0.006096,196
84121.2947955276,431832.911710022,0,197
84121.3517955276,431831.773210022,0,198
84121.2947955276,431832.911710022,0,199
84121.2947955276,431832.917806022,0.006096,200
84121.2947955276,431830.691710022,0,201
84121.3517955276,431829.518710022,0,202
84121.2947955276,431830.691710022,0,203
84121.2947955276,431830.697806022,0.006096,204
84127.1573331171,431826.716353939,0,205
84126.5917955275,431825.455210022,0,206
84127.9822955276,431828.025210022,0,207
84128.1517955276,431826.125210022,2.64,208
84126.7854082963,431828.025210022,2.5,209
84128.0447955276,431825.455210022,0,210
84128.0447955276,431826.045210022,0,211
84128.0447955276,431827.575210022,0,212
84126.5917955275,431825.455210022,2.6,213
84126.5917955275,431825.455210022,0,214
84128.0447955276,431826.125210022,0,215
84128.0447955276,431825.655210022,0,216
84128.0447955276,431826.045210022,0,217
84128.0447955276,431827.575210022,0,218
84126.5917955275,431826.743641774,0,219
