WKT,PLANID,LAAG,OID_,LAAG_1,LEGENDA
"POLYGON ((90771.302257 432440.489938,90769.321703 432436.560893,90767.35718 432437.55117,90766.838872 432436.522946,90765.354709 432441.024278,90769.856041 432442.50844,90769.337734 432441.480216,90771.302257 432440.489938))","577",A_TOETSAFST_TRANSPLEID_GEV_STOFFEN,"69",A_TOETSAFST_TRANSPLEID_GEV_STOFFEN,milieu
"POLYGON ((90879.364447 431881.196981,90877.200902 431877.365653,90875.285238 431878.447426,90874.719042 431877.444774,90873.448695 431882.011058,90878.014979 431883.281405,90877.448783 431882.278754,90879.364447 431881.196981))","577",A_TOETSAFST_TRANSPLEID_GEV_STOFFEN,"69",A_TOETSAFST_TRANSPLEID_GEV_STOFFEN,milieu
"POLYGON ((90828.144587 431903.407294,90830.05571 431902.317519,90830.626094 431903.317794,90831.877334 431898.746238,90827.305778 431897.494998,90827.876162 431898.495273,90825.965038 431899.585048,90828.144587 431903.407294))","577",A_TOETSAFST_TRANSPLEID_GEV_STOFFEN,"69",A_TOETSAFST_TRANSPLEID_GEV_STOFFEN,milieu
"POLYGON ((90709.807968 431996.312459,90707.444262 431992.601274,90705.588669 431993.783128,90704.970092 431992.811918,90703.94372 431997.439151,90708.570953 431998.465523,90707.952376 431997.494313,90709.807968 431996.312459))","577",A_TOETSAFST_TRANSPLEID_GEV_STOFFEN,"69",A_TOETSAFST_TRANSPLEID_GEV_STOFFEN,milieu
"POLYGON ((90751.066326 432448.693518,90748.936132 432444.843547,90747.011147 432445.908644,90746.453679 432444.901113,90745.143727 432449.456193,90749.698807 432450.766145,90749.14134 432449.758615,90751.066326 432448.693518))","577",A_BEBAFST_TRANSPLEID_GEV_STOFFEN,"3",A_BEBAFST_TRANSPLEID_GEV_STOFFEN,milieu
"POLYGON ((90691.05172 432008.974504,90688.447257 432005.428129,90686.67407 432006.730361,90685.992486 432005.802281,90685.893917 432006.445954,90689.287489 432010.270158,90691.05172 432008.974504))","577",A_BEBAFST_TRANSPLEID_GEV_STOFFEN,"3",A_BEBAFST_TRANSPLEID_GEV_STOFFEN,milieu
"POLYGON ((96389.285213 439490.283681,96390.86 439489.429999,96393.291023 439490.157837,96394.415307 439485.258702,96393.01152 439484.849218,96392.758253 439484.775339,96392.263217 439484.651802,96391.779679 439484.552481,96391.307638 439484.477378,96390.847096 439484.426491,96390.398052 439484.399822,96389.960505 439484.397371,96389.534457 439484.419137,96389.119906 439484.46512,96388.716852 439484.535321,96388.325297 439484.629739,96387.94524 439484.748373,96387.57668 439484.891227,96387.219619 439485.058297,96386.874055 439485.249585,96386.53999 439485.465089,96386.217422 439485.704812,96385.906351 439485.968751,96385.606779 439486.256908,96385.318705 439486.569281,96385.042128 439486.905874,96384.777049 439487.266682,96384.523469 439487.651709,96384.281386 439488.060953,96384.050801 439488.494414,96383.831712 439488.952092,96383.624124 439489.433988,96383.428033 439489.940101,96383.243439 439490.470431,96383.070343 439491.024979,96382.908745 439491.603743,96382.758645 439492.206727,96382.689344 439492.520327,96379.962678 439504.858982,96377.247766 439516.636909,96344.699591 439662.852977,96341.599726 439676.762376,96341.566659 439676.923136,96340.062699 439684.647156,96338.651016 439692.388573,96335.612027 439713.349554,96334.889601 439719.500495,96333.781273 439735.995612,96331.451459 439754.258979,96328.069374 439774.889697,96324.015546 439802.35666,96322.289877 439813.629014,96316.906673 439839.84115,96314.417209 439852.67996,96308.753001 439883.342737,96304.389602 439907.030367,96309.31 439907.889999,96319.33 439853.61,96327.24 439814.38,96327.26 439814.27,96332.97 439775.93,96336.4 439754.98,96338.76 439736.48,96339.87 439719.96,96340.57 439714.0,96343.59 439693.17,96346.48 439677.85,96382.12 439517.76,96384.84 439505.96,96387.62 439493.379999,96388.149182 439491.668657,96389.285213 439490.283681))","578",A_KEURSTROOK,"41",A_KEURSTROOK,diversen
"POLYGON ((97273.508789 435989.428889,97272.969634 435987.18684,97273.504236 435989.424712,97273.508789 435989.428889))","580",A_KEURSTROOK,"41",A_KEURSTROOK,diversen
"POLYGON ((97452.800544 435635.732927,97458.775448 435627.383334,97455.559341 435627.916494,97455.003285 435624.562273,97447.110999 435625.870642,97447.667056 435629.224863,97444.45095 435629.758023,97452.800544 435635.732927))","580",A_CONTOUR_GELUID,"12",A_CONTOUR_GELUID,milieu
"POLYGON ((98848.5 439648.814,98848.481965 439648.810777,98857.980144 439655.587551,98858.028789 439655.596245,98848.5 439648.814))","581",A_KEURSTROOK,"41",A_KEURSTROOK,diversen
"POLYGON ((98929.008504 439706.251474,98924.93 439703.35,98929.004893 439706.257077,98929.008504 439706.251474))","581",A_KEURSTROOK,"41",A_KEURSTROOK,diversen
"POLYGON ((98902.218999 439687.139,98896.836005 439683.296645,98896.837399 439683.311481,98902.220223 439687.152026,98902.218999 439687.139))","581",A_KEURSTROOK,"41",A_KEURSTROOK,diversen
