WKT,PLANID,LAAG
"LINESTRING (91640.232139 434707.516948,91642.422188 434710.015304,91631.691253 434719.421995)","574",ALG_CODERINGEN
"LINESTRING (91070.88537 433041.277326,91073.856036 433040.67731)","577",ALG_CODERINGEN
"LINESTRING (86954.931972 432026.781923,86962.235796 432026.781923)","634",ALG_CODERINGEN
"LINESTRING (91090.881197 436863.928263,91090.901051 436844.716493,91079.970278 436845.109431)","582",ALG_CODERINGEN
"LINESTRING (91728.951904 434373.694011,91732.821141 434369.762198)","574",ALG_CODERINGEN
"LINESTRING (94610.11353 434113.199009,94611.044438 434112.134029,94613.224739 434113.884511)","632",ALG_CODERINGEN
"LINESTRING (94477.720446 433438.926137,94471.737796 433429.826671,94458.647075 433442.34935)","598",ALG_CODERINGEN
"LINESTRING (91194.622495 436482.655594,91196.911137 436466.196114,91204.128746 436467.036756)","582",ALG_CODERINGEN
"LINESTRING (94219.291803 433846.588387,94219.34898 433845.202763)","568",ALG_CODERINGEN
"LINESTRING (91704.976504 433619.136509,91710.578142 433626.644572)","574",ALG_CODERINGEN
"LINESTRING (91345.281155 433458.776483,91339.112049 433460.58812)","574",ALG_CODERINGEN
"LINESTRING (94794.763605 434166.282752,94798.33698 434161.99652)","632",ALG_CODERINGEN
"LINESTRING (90638.399246 437078.254229,90656.803449 437102.199952)","582",ALG_CODERINGEN
"LINESTRING (91783.317664 433544.202545,91783.314568 433553.216423)","574",ALG_MAATVOERING
"LINESTRING (91717.637763 433546.938451,91719.670215 433545.414111)","574",ALG_CODERINGEN
"LINESTRING (89274.678487 431672.853038,89278.825195 431674.100773,89296.866269 431679.52868,89301.012376 431680.776005)","634",ALG_MAATVOERING
"LINESTRING (91249.911914 436922.280362,91249.181188 436944.274784)","582",ALG_CODERINGEN
"LINESTRING (95910.62817 441013.87408,95910.783838 441006.631219)","589",ALG_CODERINGEN
"LINESTRING (91471.151941 434118.880969,91465.153063 434119.585532)","574",ALG_CODERINGEN
"LINESTRING (91588.916824 434374.406943,91586.981839 434375.146307)","574",ALG_CODERINGEN
"LINESTRING (94269.873872 436188.412634,94268.592181 436185.572648)","687",ALG_CODERINGEN
