WKT,PLANID,LAAG,TEKST,SYMBOOL,ROTATIE,OID_,SYMBOOL_1,LEGENDA,LAAG_1
"POINT (90802.66199 436825.692588)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90804.654269 436826.493655)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90639.144652 436827.830637)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (91242.04074 436829.820039)","582",A_GELUID,"10",,"0.0000","0",,,
"POINT (90927.987134 436831.513995)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90927.987134 436831.513995)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90929.979413 436832.315062)","582",A_KANTOOR_TOEGEST,"1",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90802.661991 436832.958682)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90804.654269 436833.759749)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91110.632737 436837.427498)","582",A_GARAGE_TOEGEST,,Garagebedrijf,"0.0000","39",Garagebdrijf,bedrijf/detailhandel/voorz,A_GARAGE_TOEGEST
"POINT (90927.715978 436837.809687)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90927.715978 436837.809687)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90929.708256 436838.610752)","582",A_KANTOOR_TOEGEST,"1",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90502.967331 436839.738876)","582",A_BELHUIS_TOEGEST,,Belhuis,"6.2440","0",,,
"POINT (90471.166164 436842.996953)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (91141.208759 436845.281292)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90802.247536 436846.517733)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91143.153703 436846.648339)","582",A_KANTOOR_TOEGEST,"1",,"4.7614","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90804.239814 436847.318799)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90365.999075 436850.236668)","582",A_BELHUIS_TOEGEST,,Belhuis,"3.0963","0",,,
"POINT (90355.085016 436851.143325)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90348.756019 436851.231256)","582",A_BELHUIS_TOEGEST,,Belhuis,"3.0963","0",,,
"POINT (91143.86359 436851.607644)","582",A_SEKSINR_TOEGEST,,Seksinrichting,"4.7420","0",,,
"POINT (90318.640445 436853.674236)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90170.554607 436856.624391)","582",A_DAK,,Plat afgedekt,"2.0325","0",,,
"POINT (90670.184239 436858.029563)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90180.443439 436863.630211)","582",A_DAK,,Plat afgedekt,"2.0306","0",,,
"POINT (90691.158815 436865.35745)","582",A_BELHUIS_TOEGEST,,Belhuis,"3.4920","0",,,
"POINT (90224.136205 436865.976201)","582",A_DAK,,Plat afgedekt,"6.1636","0",,,
"POINT (90927.083281 436869.447927)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90927.083281 436869.447927)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90929.075559 436870.248993)","582",A_KANTOOR_TOEGEST,"2",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90707.07392 436872.33968)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90504.110198 436877.989252)","582",A_SEKSINR_TOEGEST,,Seksinrichting,"4.7795","0",,,
