WKT,PLANID,LAAG,TEKST,SYMBOOL,ROTATIE,OID_,SYMBOOL_1,LEGENDA,LAAG_1
"POINT (91275.665483 437024.724334)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90825.987055 437024.933066)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90997.202516 437027.457827)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (91050.428412 437030.226824)","582",A_SEKSINR_TOEGEST,,Seksinrichting,"4.7420","0",,,
"POINT (90946.001445 437031.596501)","582",A_KANTOOR_TOEGEST,"3",,"4.4619","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90943.584572 437032.064766)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90943.584572 437032.064766)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90824.256612 437032.146589)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90826.428871 437033.547777)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91330.909803 437042.606416)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90218.00789 437046.032928)","582",A_DAK,,Plat afgedekt,"0.9330","0",,,
"POINT (91198.331154 437048.563377)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (91203.529757 437050.755955)","582",A_BELHUIS_TOEGEST,,Belhuis,"3.4350","0",,,
"POINT (90961.444818 437051.387149)","582",A_DAK,,Plat afgedekt,"4.0489","0",,,
"POINT (91112.219778 437054.324179)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90824.919336 437055.188346)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90826.907505 437056.278158)","582",A_KANTOOR_TOEGEST,"4",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91122.324196 437058.673085)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90109.850266 437061.278772)","582",A_GARAGE_TOEGEST,,Garagebedrijf,"0.0000","39",Garagebdrijf,bedrijf/detailhandel/voorz,A_GARAGE_TOEGEST
"POINT (91246.639167 437064.250849)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90824.518163 437065.284944)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90598.347187 437065.692829)","582",A_GELUID,"3",,"0.0000","0",,,
"POINT (90826.665602 437066.622398)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90966.194646 437067.408956)","582",A_KANTOOR_TOEGEST,"4",,"4.0268","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90963.782077 437068.533009)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90963.782077 437068.533009)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91257.325588 437069.207265)","582",A_BELHUIS_TOEGEST,,Belhuis,"3.4350","0",,,
"POINT (91146.972482 437070.231127)","582",A_BELHUIS_TOEGEST,,Belhuis,"3.5050","0",,,
"POINT (91403.796076 437070.317998)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (91139.121152 437070.794507)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90969.726815 437072.380265)","582",A_KANTOOR_TOEGEST,"2",,"4.0725","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91269.638086 437073.070508)","582",A_BELHUIS_TOEGEST,,Belhuis,"3.4350","0",,,
"POINT (90824.967627 437073.309669)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90967.413894 437073.877352)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90967.413894 437073.877352)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90827.015185 437074.787908)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91163.183897 437075.360534)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (91137.349598 437076.808953)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (91168.219991 437076.983866)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (91301.940275 437080.890002)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90824.867747 437081.404787)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90827.015185 437082.883025)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90825.004182 437082.975627)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91191.991318 437086.127133)","582",A_AMUSEMENTSHAL_TOEGEST,,amusementshal toegestaan,"0.0000","16",amusementshal toegestaan,bedrijf/detailhandel/voorz,A_AMUSEMENTSHAL_TOEGEST
"POINT (90825.117449 437089.218335)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90827.115067 437090.766966)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91359.967564 437092.873515)","582",A_BELHUIS_TOEGEST,,Belhuis,"3.3841","0",,,
"POINT (90825.11745 437097.313452)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90827.214948 437098.932476)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91410.032321 437105.164313)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90825.516973 437105.197393)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90828.013995 437106.534847)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91097.237647 437110.804566)","582",A_BELHUIS_TOEGEST,,Belhuis,"5.1081","0",,,
"POINT (91254.152046 437111.63251)","582",A_BELHUIS_TOEGEST,,Belhuis,"4.7999","0",,,
"POINT (90826.565723 437113.081333)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90324.955923 437113.359273)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90828.56334 437114.841141)","582",A_KANTOOR_TOEGEST,"1",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90937.104527 437115.46145)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (91289.853651 437115.926921)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90387.684682 437120.408541)","582",A_GARAGE_TOEGEST,,Garagebedrijf,"0.0000","39",Garagebdrijf,bedrijf/detailhandel/voorz,A_GARAGE_TOEGEST
"POINT (90155.007788 437122.218435)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90937.229485 437124.448652)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (91253.232091 437124.784923)","582",A_BELHUIS_TOEGEST,,Belhuis,"4.7999","0",,,
"POINT (90387.142269 437124.886595)","582",A_GARAGE_TOEGEST,,Garagebedrijf,"0.0000","39",Garagebdrijf,bedrijf/detailhandel/voorz,A_GARAGE_TOEGEST
"POINT (90826.415902 437128.919607)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91252.790131 437129.977094)","582",A_BELHUIS_TOEGEST,,Belhuis,"4.7999","0",,,
"POINT (90828.563341 437130.397846)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90349.734069 437132.837924)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90539.031982 437134.92441)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90049.486124 437135.818588)","582",A_MAATBESTEMMING,,maatbestemming,"5.3718","0",,,
"POINT (90826.665605 437136.099624)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91384.935889 437137.086447)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90828.663222 437137.50747)","582",A_KANTOOR_TOEGEST,"4",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91396.212377 437138.719556)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (91402.046772 437139.972605)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90187.588416 437142.045064)","582",A_GELUID,"2",,"0.0000","0",,,
"POINT (90827.015188 437143.913172)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90042.159287 437144.529121)","582",A_GARAGE_TOEGEST,,Garagebedrijf,"0.0000","39",Garagebdrijf,bedrijf/detailhandel/voorz,A_GARAGE_TOEGEST
"POINT (90514.70492 437145.371183)","582",A_BELHUIS_TOEGEST,,Belhuis,"5.8578","0",,,
"POINT (90829.212567 437145.391411)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91205.025943 437147.474328)","582",A_GARAGE_TOEGEST,,Garagebedrijf,"0.0000","39",Garagebdrijf,bedrijf/detailhandel/voorz,A_GARAGE_TOEGEST
"POINT (90827.115069 437151.304366)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90375.835547 437152.138456)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90829.362389 437152.641821)","582",A_KANTOOR_TOEGEST,"4",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90937.970746 437154.019694)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90937.970746 437154.019694)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90939.963024 437154.820761)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90459.903157 437157.980499)","582",A_GARAGE_TOEGEST,,Garagebedrijf,"0.0000","39",Garagebdrijf,bedrijf/detailhandel/voorz,A_GARAGE_TOEGEST
"POINT (90827.21495 437158.906738)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90829.212568 437160.244192)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90938.345945 437160.713564)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90938.345945 437160.713564)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90327.64513 437161.413056)","582",A_BELHUIS_TOEGEST,,Belhuis,"3.8091","0",,,
"POINT (90940.338223 437161.51463)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90827.564534 437166.368324)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90829.686892 437167.010952)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90938.528952 437174.093009)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90938.528952 437174.093009)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90827.864177 437174.11148)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90019.41818 437174.667881)","582",A_MAATBESTEMMING,,maatbestemming,"5.3718","0",,,
"POINT (90940.52123 437174.894075)","582",A_KANTOOR_TOEGEST,"2",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90829.811854 437175.589719)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90431.878998 437180.912003)","582",A_BELHUIS_TOEGEST,,Belhuis,"3.2842","0",,,
"POINT (90364.446896 437184.57456)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90009.121821 437186.991629)","582",A_GARAGE_TOEGEST,,Garagebedrijf,"0.0000","39",Garagebdrijf,bedrijf/detailhandel/voorz,A_GARAGE_TOEGEST
"POINT (90938.82568 437188.321312)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90938.82568 437188.321312)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90940.817958 437189.122378)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90005.740116 437191.284275)","582",A_GARAGE_TOEGEST,,Garagebedrijf,"0.0000","39",Garagebdrijf,bedrijf/detailhandel/voorz,A_GARAGE_TOEGEST
"POINT (90939.069585 437195.369976)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90939.069585 437195.369976)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90941.061863 437196.171042)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91419.403798 437200.282157)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90939.326384 437202.255335)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90939.326384 437202.255335)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90941.318662 437203.056401)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91078.185539 437212.193178)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (91157.84103 437212.7675)","582",A_GELUID,"8",,"0.0000","0",,,
"POINT (90939.6911 437215.786076)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90939.6911 437215.786076)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90941.683379 437216.587143)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90829.904388 437216.61677)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90832.125762 437217.958664)","582",A_KANTOOR_TOEGEST,"3",,"4.6710","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90473.229272 437223.251402)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90829.904388 437225.730463)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90832.3241 437226.625059)","582",A_KANTOOR_TOEGEST,"3",,"4.6694","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (88244.092849 437226.783588)","576",A_LEIDINGNUMMER,"3",,"6.0756","0",,,
"POINT (90939.827212 437228.778398)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90939.827212 437228.778398)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90472.673862 437229.066967)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90941.81949 437229.579464)","582",A_KANTOOR_TOEGEST,"2",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90830.102726 437233.949561)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90832.314801 437234.64108)","582",A_KANTOOR_TOEGEST,"4",,"4.6731","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90601.829551 437235.008561)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90940.18366 437236.036792)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90940.18366 437236.036792)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90942.175938 437236.837858)","582",A_KANTOOR_TOEGEST,"2",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90600.717531 437237.485589)","582",A_KANTOOR_TOEGEST,"4",,"6.2529","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90830.34073 437242.615956)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90940.473282 437242.833453)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90940.473282 437242.833453)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90942.46556 437243.634519)","582",A_KANTOOR_TOEGEST,"2",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90832.681107 437244.125586)","582",A_KANTOOR_TOEGEST,"4",,"4.6405","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90940.934057 437249.424534)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90940.934057 437249.424534)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90942.926335 437250.2256)","582",A_KANTOOR_TOEGEST,"2",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90321.017367 437252.444495)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90375.229201 437252.79755)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90739.046962 437257.248235)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90831.88776 437267.832371)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90834.069467 437269.56565)","582",A_KANTOOR_TOEGEST,"2",,"4.6161","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90832.681108 437276.554678)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91129.832485 437276.605817)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91129.832485 437276.605817)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91131.824765 437277.406883)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90834.902483 437277.784747)","582",A_KANTOOR_TOEGEST,"3",,"4.6210","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
