x,y,z
84125.44530654371,431824.5583953676,0.0
84124.19220128782,431825.2474943936,0.0
84116.07189774235,431828.46683350735,0.0
84120.48251133853,431826.6848299425,0.0
84120.38330266609,431826.724912848,0.0
84120.17679013724,431831.2245887225,0.0
84114.86655873142,431828.9538220788,0.0
84114.86655873142,431828.9538220788,0.0
84115.066830444,431828.8729070546,0.0
84119.12511417543,431827.23325399525,0.0
84119.22339566403,431827.1935456963,0.0
84114.86655873142,431828.9538220788,2.5
84121.15945757761,431828.79812329396,0.0
84121.991084215,431830.8564714511,0.0
84122.82271085237,431832.91481960827,0.0
84114.86655873142,431828.9538220788,0.0
84118.23108785019,431837.2813238686,0.0
84118.23108785019,431837.2813238686,0.0
84121.21230705731,431828.77677071816,0.0
84122.04393369472,431830.8351188753,0.0
84122.87556033209,431832.8934670324,0.0
84117.37436257103,431835.1608543932,0.0
84117.8036617271,431836.2234070905,0.0
84116.54273593366,431833.10250623606,0.0
84116.96828902379,431834.15578709485,0.0
84115.68114076881,431830.96998337057,0.0
84116.13666238639,431832.0974389377,0.0
84118.20715532482,431833.7517814784,0.0
84118.51283430505,431834.50836350373,0.0
84118.9189078523,431835.51343080204,0.0
84121.26037175792,431832.5182019663,0.0
84117.49540279733,431831.9901321547,0.0
84117.80108177755,431832.74671418004,0.0
84120.54861923041,431830.7565526426,0.0
84116.78365026985,431830.2284828311,0.0
84117.08932925007,431830.9850648564,0.0
84119.83686670294,431828.99490331893,0.0
84116.07189774235,431828.46683350735,0.0
84116.37757672257,431829.2234155327,0.0
84119.12511417543,431827.23325399525,0.0
84123.26849269854,431834.01816839515,0.0
84122.8911065057,431832.93194516236,0.0
84123.26849269854,431834.01816839515,0.0
84123.26849269854,431834.01816839515,0.0
84122.43311999523,431831.95054839953,0.0
84122.05947986833,431830.87359700527,0.0
84122.43311999523,431831.95054839953,0.0
84122.435403597,431831.95620051224,0.006095999999999871
84121.60149335783,431829.8922002423,0.0
