X_georeferenced,Y_georeferenced,Z_georeferenced
84112.84579552755,431829.5187100221,0.0
84112.84579552755,431829.5187100221,0.0
84114.08379552756,431829.5187100221,0.0
84115.40179552756,431829.5187100221,0.0
84112.73379552756,431831.6932100221,0.0
84119.23616314934,431828.9228663611,0.0
84112.82829552756,431828.1892100221,0.0
84119.06079552756,431828.1892100221,0.0
84112.84579552755,431829.5187100221,0.0
84114.08379552756,431829.5187100221,0.0
84112.62179552756,431828.2909142599,0.0
84126.86479552755,431828.0252100221,2.5
84126.59179552755,431828.0252100221,0.0
84121.24479552756,431828.1892100221,0.0
84121.45879552756,431828.0252100221,0.0
84112.62179552756,431828.2909142599,0.0
84112.62179552756,431829.5187100221,0.0
84120.69479552755,431828.1892100221,0.0
84121.45879552756,431828.0252100221,0.0
84125.43679552755,431829.4062100221,0.0
84126.86479552755,431828.0252100221,0.0
84112.62679552755,431828.3034142599,0.0
84126.78540829626,431828.0252100221,0.0
84123.90029552755,431829.4062100221,0.0
84127.98229552756,431828.0252100221,0.0
84126.59179552755,431828.1322100221,0.0
84125.43679552755,431829.4062100221,0.0
84123.90029552755,431829.4062100221,0.0
84112.62179552756,431828.2909142599,0.0
84112.82829552756,431828.1892100221,0.0
84115.40179552756,431829.5187100221,0.0
84115.61779552756,431829.5187100221,0.0
84119.99479552756,431829.5187100221,0.0
84120.10079552756,431829.5187100221,0.0
84127.98229552756,431828.0252100221,0.0
84121.45879552756,431828.0252100221,0.0
84122.91179552756,431828.0252100221,0.0
84126.85679552755,431829.4062100221,0.0
84126.85679552755,431829.4062100221,0.0
84125.43679552755,431829.5757100221,0.0
84116.70179552755,431829.5187100221,0.0
84121.45879552756,431829.5187100221,0.0
84121.35179552756,431829.5187100221,0.0
84119.47471219422,431833.6133758888,0.0
84115.40179552756,431829.5187100221,0.0
84115.40179552756,431829.5187100221,0.0
84115.61779552756,431829.5187100221,0.0
84119.99479552756,431829.5187100221,0.0
84120.10079552756,431829.5187100221,0.0
84115.40179552756,431829.5187100221,2.5
84121.29479552756,431831.7317100221,0.0
84121.29479552756,431833.9517100221,0.0
84121.29479552756,431836.1717100221,0.0
84115.40179552756,431829.5187100221,0.0
84115.40179552756,431838.5002100221,0.0
84115.40179552756,431838.5002100221,0.0
84121.35179552756,431831.7317100221,0.0
84121.35179552756,431833.9517100221,0.0
84121.35179552756,431836.1717100221,0.0
84115.40179552756,431836.2132100221,0.0
84115.40179552756,431837.3592100221,0.0
84115.40179552756,431833.9932100221,0.0
84115.40179552756,431835.1292100221,0.0
84115.40179552756,431831.6932100221,0.0
84115.40179552756,431832.9092100221,0.0
84116.70179552755,431835.2187100221,0.0
84116.70179552755,431836.0347100221,0.0
84116.70179552755,431837.11871002207,0.0
84119.99479552756,431835.2187100221,0.0
84116.70179552755,431833.3187100221,0.0
84116.70179552755,431834.1347100221,0.0
84119.99479552756,431833.3187100221,0.0
84116.70179552755,431831.4187100221,0.0
84116.70179552755,431832.2347100221,0.0
84119.99479552756,431831.4187100221,0.0
84116.70179552755,431829.5187100221,0.0
84116.70179552755,431830.3347100221,0.0
84119.99479552756,431829.5187100221,0.0
84121.29479552756,431837.3617100221,0.0
84121.35179552756,431836.2132100221,0.0
84121.29479552756,431837.3617100221,0.0
84121.29479552756,431837.3617100221,0.0
84121.29479552756,431835.1317100221,0.0
84121.35179552756,431833.9932100221,0.0
84121.29479552756,431835.1317100221,0.0
84121.29479552756,431835.1378060221,0.006095999999999871
84121.29479552756,431832.9117100221,0.0
84121.35179552756,431831.7732100221,0.0
84121.29479552756,431832.9117100221,0.0
84121.29479552756,431832.9178060221,0.006095999999999871
84121.29479552756,431830.6917100221,0.0
84121.35179552756,431829.5187100221,0.0
84121.29479552756,431830.6917100221,0.0
84121.29479552756,431830.6978060221,0.006095999999999871
84127.15733311712,431826.71635393926,0.0
84126.59179552755,431825.4552100221,0.0
84127.98229552756,431828.0252100221,0.0
84128.15179552756,431826.1252100221,2.64
84126.78540829626,431828.0252100221,2.5
84128.04479552756,431825.4552100221,0.0
84128.04479552756,431826.0452100221,0.0
84128.04479552756,431827.5752100221,0.0
84126.59179552755,431825.4552100221,2.6
